ckpt,n_detections,det_only_DetA,HOTA,DetA,AssA,n_tracks
equiunet_sf16_seed0_real_generous-sweep-1-best.ckpt,75680,0.5926120909011143,0.6348725846325407,0.6902182401635736,0.5839648610597153,2557
equiunet_sf16_seed1_real_astral-sweep-2-best.ckpt,73688,0.6167250539705521,0.6527391096073833,0.7089755345005749,0.600963396446643,2516
equiunet_sf16_seed2_real_fragrant-sweep-3-best.ckpt,84676,0.5570089607580595,0.6418362662350445,0.6684948945044825,0.6162407462511753,2687
equiunet_sf16_seed3_real_pious-sweep-4-best.ckpt,67855,0.6049967693301744,0.6270965707678261,0.6864408016699024,0.5728827717002091,2453
equiunet_sf16_seed4_real_solar-sweep-5-best.ckpt,65519,0.6628874631918859,0.6914222139058572,0.744047251866017,0.642519244152203,2094
unet_sf16_seed0_real_swift-sweep-1-best.ckpt,79458,0.5772944821516836,0.6271669767396904,0.6568537258509659,0.5988219313260744,2807
unet_sf16_seed1_real_super-sweep-2-best.ckpt,78773,0.6088558148734177,0.6208417287848242,0.6610953904741755,0.5830390859692222,2765
unet_sf16_seed2_real_drawn-sweep-3-best.ckpt,94272,0.5149362401447858,0.5386843048702774,0.5481348167539267,0.5293967313224776,3883
unet_sf16_seed3_real_dulcet-sweep-4-best.ckpt,77366,0.5737791088564269,0.6680462512597055,0.6910471279186363,0.6458109379114462,2475
unet_sf16_seed4_real_deep-sweep-5-best.ckpt,81330,0.5787927096221567,0.6279004881705081,0.6622046405072058,0.5953733920420514,2727
